avggift,lastgife,pgift,ampergift,response
13.47,14,0.29,14.5,1
10.29,15,0.29,15,0
3.5,3,0.33,3.8,0
3.05,5,0.37,3.57,0
11.57,20,0.27,20,0
11.17,20,0.21,9.4,0
4.26,5,0.35,5,0
14.09,21,0.17,20,0
5.3,5,0.34,7,1
4,3,0.25,4.2,1
13.33,20,0.09,20,1
5.55,10,0.28,8.33,1
4.64,4,0.32,4.33,1
20,25,0.11,23.33,0
11.57,30,0.15,15.75,0
9.4,10,0.17,11.67,0
16.5,20,0.09,16.5,0
20.5,25,0.08,25,0
12.5,15,0.1,12.5,0
13.39,15,0.21,15.67,1
11.67,15,0.08,15,0
6,5,0.21,6.17,0
13.67,15,0.11,15.67,0
9.82,25,0.16,22.5,1
12.5,20,0.1,12.5,1
13.18,20,0.27,17.33,0
8.44,15,0.18,15,0
10,10,0.15,10,0
28.5,5,0.17,100,0
13.67,20,0.16,17.5,0
19.75,25,0.08,25,0
8.7,10,0.19,11.33,0
8.25,7,0.17,9,0
7.71,9,0.33,9.2,0
5,5,0.2,5.33,1
10.93,10,0.21,13.4,0
8.78,16,0.16,12,0
12.22,16,0.21,13.2,0
15.25,25,0.17,18,1
8.75,20,0.13,15,0
17.53,50,0.25,19.75,1
14.71,20,0.26,20,0
10.8,15,0.15,12.25,0
4.71,5,0.42,5,0
20,20,0.07,20,0
11.5,16,0.14,12,0
10.73,10,0.22,10,0
4.9,3,0.4,5.29,0
5.5,5,0.22,5.25,0
9.87,10,0.2,13,1
18.86,40,0.1,27.5,1
5.05,5,0.22,5,1
12,16,0.14,12,0
9.95,13,0.3,11.6,0
15,15,0.08,15,0
16.57,25,0.14,25,0
7.1,5,0.19,11.67,0
7.06,10,0.25,10,0
20,20,0.08,20,1
7.2,8,0.24,6.67,1
8.33,10,0.19,9,1
15.29,25,0.14,22.5,0
8.75,10,0.19,8.33,0
11.22,16,0.23,11.5,0
14.73,20,0.18,16.67,0
13.2,15,0.11,15,0
13.18,20,0.18,20,0
12,20,0.15,17.67,0
9.33,14,0.18,13,0
7.85,13,0.19,13,0
11,11,0.19,13.5,0
18.2,25,0.12,21.67,0
7.72,10,0.26,8.5,0
32.5,40,0.08,32.5,0
8.64,10,0.23,10,1
25,25,0.09,25,0
4.93,5,0.29,5,0
20,20,0.07,20,1
10,15,0.1,10,0
7.2,10,0.21,10,0
5.71,7,0.22,5.71,0
9,15,0.27,15,0
12.78,10,0.13,14,1
4.13,5,0.22,5,0
15,20,0.13,15,0
25,25,0.11,25,0
24.4,29,0.17,24.4,0
10.62,20,0.16,20,0
20,20,0.1,20,0
9.92,10,0.22,13.33,0
11,18,0.2,17,0
13.93,18,0.19,17,0
7.5,15,0.14,7.5,0
4.09,10,0.4,8,0
6,5,0.21,5,1
10,6,0.15,14,0
13,16,0.09,13,0
5.32,5,0.3,6,0
20,20,0.07,20,0
25,25,0.12,26.67,1
25,25,0.09,25,0
15,18,0.23,14.5,0
10,17,0.2,17,0
25,25,0.07,25,0
12.5,15,0.11,15,0
15,15,0.08,15,0
16.12,25,0.13,25,0
24.17,30,0.1,30,0
16.8,20,0.2,20,0
15,15,0.08,15,0
14.67,18,0.11,14.67,0
9.44,10,0.21,11.8,0
7.86,15,0.14,13,0
6.19,14,0.46,11.5,0
13.67,15,0.12,13.67,0
7.67,7,0.16,7.67,1
10.25,12,0.15,11.25,0
10.22,15,0.14,15,0
10.06,15,0.46,13.5,0
14.8,20,0.31,21.6,1
10.25,15,0.28,10.17,1
15.56,10,0.3,19.29,1
15.94,20,0.21,20,0
13.14,20,0.15,18.33,0
5.94,7,0.27,7,0
10.5,15,0.11,15,0
14.5,10,0.11,20,0
13.62,5,0.21,12.5,0
9.13,13,0.21,11.5,1
5.84,10,0.3,7.33,0
9.24,12,0.52,11,0
7.35,11,0.26,10,1
11.5,10,0.2,15,0
18.4,25,0.1,22.5,0
18.64,25,0.21,25,0
4.11,4,0.3,4.17,1
22.5,25,0.11,23.33,1
9.4,15,0.12,15,0
20,20,0.1,20,0
9.38,14,0.21,12.6,1
4.78,5,0.24,5,0
10.83,15,0.18,11.8,0
25,25,0.07,25,0
15,0,0.1,25,0
6.25,9,0.21,5.33,0
28.64,25,0.13,38.33,0
16.5,0,0.07,0,0
15.1,25,0.13,18.33,0
13,20,0.22,20,0
4.72,9,0.25,7.6,1
15,15,0.08,15,0
11.27,11,0.17,8.75,0
10.73,16,0.2,14.75,0
9.84,12,0.27,11.75,0
20.33,30,0.12,27.5,0
13,25,0.19,12,0
5.59,10,0.35,6.33,0
16.75,25,0.08,22.5,0
13.58,21,0.16,17,1
12,20,0.08,20,0
6.58,10,0.27,9.33,1
20,20,0.06,20,0
15,25,0.09,15,0
6,10,0.17,7,0
10,10,0.19,10,0
6.55,3,0.19,8.5,0
3.78,5,0.35,4.4,1
20.61,29,0.21,23.4,0
12.71,20,0.12,20,0
8.05,12,0.27,10.71,1
11.67,22,0.14,17,0
25.57,45,0.11,42.5,0
8.75,10,0.33,10.5,1
11.67,10,0.12,15,0
15,25,0.08,25,0
4.38,4,0.29,4.38,0
10.6,15,0.11,15,1
22.5,15,0.1,21.67,0
13,16,0.1,16,0
9.4,15,0.22,8.67,0
9,15,0.09,11,1
12,16,0.11,14,0
4,4,0.3,4.14,1
4.76,7,0.43,5.55,0
12.09,20,0.19,15.33,0
3.71,4,0.36,4,0
24.27,25,0.29,25,1
2.86,4,0.38,3.62,0
15,20,0.08,15,0
20,20,0.08,0,0
9.33,15,0.09,15,0
13,16,0.1,15,0
16.07,10,0.43,12.8,0
15,20,0.07,20,0
25,30,0.16,28.33,0
6,7,0.27,6.88,1
11.7,0,0.16,20,0
5.73,3,0.2,7.67,1
4.43,3,0.41,3.4,1
37.5,50,0.06,50,0
20,20,0.08,20,0
8.73,10,0.17,11,1
35,35,0.07,35,0
25,25,0.08,25,0
4.53,10,0.24,7.5,0
15,15,0.08,15,1
10.17,15,0.15,13,1
11.83,21,0.12,18,0
10,15,0.11,12.5,1
9.25,15,0.1,15,0
11.6,20,0.15,14.33,0
9.27,15,0.25,11.67,0
10,15,0.09,10,0
7.83,10,0.18,9.67,0
8.56,10,0.15,12.5,0
4.25,5,0.32,6,0
28,30,0.1,27.5,1
13.33,20,0.09,20,0
55,100,0.08,40,0
11.17,20,0.21,16.75,0
8.13,10,0.22,10,0
6.88,10,0.44,10,0
18,18,0.06,18,0
11.67,15,0.1,11.67,0
16.72,20,0.36,20.56,0
7.5,10,0.25,10.29,0
8.62,12,0.21,11.25,0
4.64,10,0.2,2.67,0
12.33,0,0.14,18,1
5.29,10,0.27,9.25,0
15,15,0.08,15,0
17.95,30,0.32,25.33,0
20,20,0.07,20,0
20,25,0.11,0,0
7.43,10,0.15,8.67,0
8.75,10,0.16,8.75,0
7.15,38,0.2,14.25,0
18,18,0.08,18,0
8.1,11,0.19,10.75,0
12,20,0.19,15.5,0
9.4,15,0.15,15.67,0
20,20,0.07,20,0
25,25,0.07,25,0
10,15,0.12,10,0
10,15,0.09,10,0
9,12,0.13,9.5,0
5,6,0.22,5.2,0
9.27,10,0.19,12.33,1
15,15,0.08,15,0
10.16,16,0.44,14.38,0
10,15,0.09,10,0
16.75,26,0.1,23.5,0
15,15,0.08,15,0
11.54,16,0.21,14.57,1
7.38,10,0.25,10.4,0
